time,MW,key,substation,devicetype,good,replaced,stop
2022-01-24T14:10:00,76.6155,KR1,KRAFLA_F,KR1,1,0,0
2022-01-24T14:10:00,1.01733,KR2,FLJOTSDA,KR2,1,0,0
2022-01-24T14:10:00,4.61296,DA1,RANGARV,DA1,1,0,0
2022-01-24T14:10:00,20.1321,LA1,LAXA_F,LA1,1,0,0
2022-01-24T14:10:00,-8.43909,NKS1,LAXA_F,KS1,1,0,0
2022-01-24T14:10:00,36.9362,FL2,FLJOTSDA,FL2,1,0,0
2022-01-24T14:10:00,263.471,FL4,FLJOTSDA,FL4,1,0,0
2022-01-24T14:10:00,271.837,FL3,FLJOTSDA,FL3,1,0,0
2022-01-24T13:17:45.511641,0.0,SR2,STUDLAR,LÍNA,0,0,0
2022-01-24T14:10:00,12.361,SR1,HRYGGST,LÍNA,1,0,0
2022-01-24T14:10:00,6.42648,FA1,STUDLAR,FA1,1,0,0
2022-01-24T14:10:00,6.20152,EY1,EYV,EY1,1,0,0
2022-01-24T14:10:00,10.8962,ES1,EYV,ES1,1,0,0
2022-01-24T14:10:00,2.21434,NK1,ESKIFJ,NK1,1,0,0
2022-01-24T14:10:00,5.86902,VP1,LAGARF,VP1,1,0,0
2022-01-24T14:10:00,15.5921,LF1,LAGARF,LF1,1,0,0
2022-01-24T14:10:00,-4.58204,SF1,EYV,SF1,1,0,0
